Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	7.5619	6.8475	5.6643	18	30	4	28
Positive	7.6056	6.0006	1.2105	1	4	0	4
Positive	7.5775	5.7367	5.095	1	1	0	0
Positive	7.5329	6.9793	9.1626	4	4	0	0
Positive	7.5868	2.0894	8.5105	0	7	0	0
Positive	7.5586	4.1757	9.4443	14	44	9	43
Positive	7.6442	2.1076	1.2327	9	7	1	4
Positive	7.6046	3.648	4.2983	8	9	0	0
Positive	7.604	1.2169	7.4295	1	11	0	3
Positive	7.6113	1.4868	6.1705	0	6	0	0
Positive	7.6112	2.0776	5.4427	1	0	0	0
Positive	7.6414	0.9094	3.1013	14	19	0	0
Positive	7.5817	6.1612	4.0221	2	17	0	0
Positive	7.5788	3.8826	7.2647	8	13	1	5
Positive	7.583	5.6711	4.4816	3	4	2	0
Positive	7.632	1.4181	3.6403	7	12	0	0
Positive	7.5577	4.5006	9.1458	4	9	0	0
Positive	7.5738	2.4691	9.6757	7	9	0	0
Positive	7.5506	6.8469	7.0893	0	17	0	0
Positive	7.6059	2.1095	6.0751	1	0	2	0
Positive	7.584	2.7419	8.0342	2	9	0	13
Positive	7.6412	0.7655	3.3064	2	17	1	0
Positive	7.6197	1.3846	5.2423	8	9	0	0
Positive	7.6112	3.5797	3.5474	0	1	0	0
Positive	7.6094	1.593	6.2736	0	4	0	0
Positive	7.623	3.6754	1.9459	2	8	0	7
Positive	7.6028	3.3065	4.953	1	8	3	0
Positive	7.5855	3.9713	6.3061	4	7	3	1
Positive	7.5735	4.3902	7.2865	11	5	7	0
Positive	7.6437	1.8606	1.6055	7	5	0	3
Positive	7.558	5.7068	7.5895	2	4	0	0
Positive	7.5725	6.4664	4.7976	3	5	0	1
Positive	7.5571	6.8024	6.329	6	10	17	5
Positive	7.6412	1.2198	2.7353	7	14	0	0
